,Date,Infected,Deaths,Recovered
0,2020-03-03,1.0,0.0,0.0
1,2020-03-04,1.0,0.0,0.0
2,2020-03-05,4.0,0.0,0.0
3,2020-03-06,4.0,0.0,0.0
4,2020-03-07,4.0,0.0,0.0
5,2020-03-08,8.0,0.0,0.0
6,2020-03-09,8.0,0.0,0.0
7,2020-03-10,13.0,0.0,0.0
8,2020-03-11,23.0,0.0,0.0
9,2020-03-12,23.0,0.0,0.0
10,2020-03-13,43.0,0.0,0.0
11,2020-03-14,61.0,0.0,0.0
12,2020-03-15,74.0,0.0,0.0
13,2020-03-16,155.0,0.0,0.0
14,2020-03-17,201.0,0.0,0.0
15,2020-03-18,238.0,0.0,0.0
16,2020-03-19,238.0,0.0,0.0
17,2020-03-20,434.0,0.0,6.0
18,2020-03-21,537.0,0.0,6.0
19,2020-03-22,632.0,1.0,8.0
20,2020-03-23,746.0,2.0,11.0
21,2020-03-24,922.0,2.0,17.0
22,2020-03-25,1142.0,3.0,22.0
23,2020-03-26,1306.0,4.0,22.0
24,2020-03-27,1610.0,5.0,43.0
25,2020-03-28,1909.0,6.0,61.0
26,2020-03-29,2139.0,7.0,75.0
27,2020-03-30,2449.0,8.0,156.0
28,2020-03-31,2738.0,12.0,156.0
29,2020-04-01,3031.0,16.0,234.0
30,2020-04-02,3404.0,18.0,335.0
31,2020-04-03,3737.0,22.0,427.0
32,2020-04-04,4161.0,27.0,528.0
33,2020-04-05,4471.0,34.0,618.0
34,2020-04-06,4815.0,37.0,728.0
35,2020-04-07,5116.0,43.0,898.0
36,2020-04-08,5546.0,48.0,1115.0
37,2020-04-09,5972.0,57.0,1274.0
38,2020-04-10,6501.0,65.0,1571.0
39,2020-04-11,6927.0,73.0,1864.0
40,2020-04-12,7213.0,80.0,2059.0
41,2020-04-13,7525.0,82.0,2367.0
42,2020-04-14,7917.0,92.0,2646.0
43,2020-04-15,8273.0,94.0,2937.0
44,2020-04-16,8807.0,105.0,3299.0
45,2020-04-17,9252.0,116.0,3621.0
46,2020-04-18,9730.0,126.0,4035.0
47,2020-04-19,10088.0,133.0,4338.0
48,2020-04-20,10507.0,139.0,4676.0
49,2020-04-21,10832.0,147.0,4969.0
50,2020-04-22,11296.0,160.0,5386.0
51,2020-04-23,11812.0,168.0,5804.0
52,2020-04-24,12306.0,174.0,6327.0
53,2020-04-25,12858.0,181.0,6746.0
54,2020-04-26,13331.0,189.0,7024.0
55,2020-04-27,13813.0,198.0,7327.0
56,2020-04-28,14365.0,207.0,7710.0
57,2020-04-29,14885.0,216.0,8057.0
58,2020-04-30,16023.0,227.0,8580.0
59,2020-05-01,17008.0,234.0,9018.0
60,2020-05-02,18435.0,247.0,9572.0
61,2020-05-03,19663.0,260.0,10041.0
62,2020-05-04,20643.0,270.0,10415.0
63,2020-05-05,22016.0,275.0,10710.0
64,2020-05-06,23048.0,281.0,11189.0
65,2020-05-07,24581.0,285.0,11664.0
66,2020-05-08,25972.0,294.0,12160.0
67,2020-05-09,27219.0,304.0,12667.0
68,2020-05-10,28866.0,312.0,13112.0
69,2020-05-11,30063.0,323.0,13605.0
70,2020-05-12,31721.0,335.0,14125.0
71,2020-05-13,34381.0,346.0,14865.0
72,2020-05-14,37040.0,368.0,15655.0
73,2020-05-15,39542.0,394.0,16614.0
74,2020-05-16,41428.0,421.0,18014.0
75,2020-05-17,43781.0,450.0,19213.0
76,2020-05-18,46059.0,478.0,20165.0
77,2020-05-19,49579.0,509.0,21507.0
78,2020-05-20,53617.0,544.0,22504.0
79,2020-05-21,57581.0,589.0,23992.0
80,2020-05-22,61857.0,630.0,25342.0
81,2020-05-23,65393.0,673.0,26546.0
82,2020-05-24,69102.0,718.0,28148.0
83,2020-05-25,73997.0,761.0,29302.0
84,2020-05-26,77961.0,806.0,30915.0
85,2020-05-27,82289.0,841.0,33540.0
86,2020-05-28,86943.0,890.0,36115.0
87,2020-05-29,90638.0,944.0,38598.0
88,2020-05-30,94858.0,997.0,40431.0
89,2020-05-31,99688.0,1054.0,42727.0
90,2020-06-01,105158.0,1113.0,44946.0
91,2020-06-02,108686.0,1188.0,21325.0
92,2020-06-03,113628.0,1275.0,21605.0
93,2020-06-04,118292.0,1356.0,21305.0
94,2020-06-05,122499.0,1448.0,99358.0
95,2020-06-06,127745.0,1541.0,103817.0
96,2020-06-07,134150.0,1637.0,108150.0
97,2020-06-08,138846.0,2264.0,112248.0
98,2020-06-09,142759.0,2283.0,117361.0
99,2020-06-10,148456.0,2475.0,121780.0
100,2020-06-11,154092.0,2648.0,126444.0
101,2020-06-12,160846.0,2870.0,131358.0
102,2020-06-13,167355.0,3101.0,137296.0
103,2020-06-14,174293.0,3323.0,143704.0
104,2020-06-15,179436.0,3362.0,148792.0
105,2020-06-16,184449.0,3383.0,156232.0
106,2020-06-17,220628.0,3615.0,181931.0
107,2020-06-18,225103.0,3841.0,186441.0
108,2020-06-19,231393.0,4093.0,191491.0
109,2020-06-20,236748.0,4295.0,196609.0
