,ObservationDate,Confirmed,Deaths,Recovered
3071,2020-03-02,1.0,0.0,0.0
3220,2020-03-03,1.0,0.0,0.0
3383,2020-03-04,1.0,0.0,0.0
3492,2020-03-05,4.0,0.0,0.0
3642,2020-03-06,16.0,0.0,0.0
3853,2020-03-07,11.0,0.0,0.0
4084,2020-03-08,12.0,0.0,0.0
4327,2020-03-09,19.0,0.0,0.0
4549,2020-03-10,173.0,0.0,0.0
4755,2020-03-11,220.0,0.0,0.0
4964,2020-03-12,328.0,0.0,0.0
5356,2020-03-13,421.0,0.0,0.0
5411,2020-03-14,525.0,2.0,0.0
5655,2020-03-15,732.0,3.0,0.0
5909,2020-03-16,967.0,10.0,0.0
6171,2020-03-17,1706.0,13.0,0.0
6447,2020-03-18,2495.0,16.0,0.0
6729,2020-03-19,5365.0,34.0,0.0
7021,2020-03-20,8310.0,42.0,0.0
7319,2020-03-21,11710.0,60.0,0.0
7863,2020-03-22,15800.0,117.0,0.0
8159,2020-03-23,20884.0,158.0,0.0
8455,2020-03-24,25681.0,210.0,0.0
8757,2020-03-25,30841.0,285.0,0.0
9061,2020-03-26,37877.0,385.0,0.0
9368,2020-03-27,44876.0,527.0,0.0
9678,2020-03-28,52410.0,728.0,0.0
9989,2020-03-29,59648.0,965.0,0.0
10301,2020-03-30,66663.0,1218.0,0.0
10614,2020-03-31,75833.0,1550.0,0.0
10927,2020-04-01,83948.0,1941.0,0.0
11242,2020-04-02,92506.0,2373.0,0.0
11557,2020-04-03,102987.0,2935.0,0.0
11873,2020-04-04,113833.0,3565.0,0.0
12191,2020-04-05,123160.0,4159.0,0.0
12511,2020-04-06,131815.0,4698.0,0.0
12831,2020-04-07,139875.0,5489.0,0.0
13151,2020-04-08,151061.0,6268.0,0.0
13471,2020-04-09,161779.0,7067.0,0.0
13792,2020-04-10,172348.0,7867.0,0.0
14113,2020-04-11,181026.0,8627.0,0.0
14433,2020-04-12,189033.0,9385.0,0.0
14753,2020-04-13,195749.0,10058.0,0.0
15073,2020-04-14,203020.0,10842.0,0.0
15393,2020-04-15,214454.0,11617.0,0.0
15713,2020-04-16,223691.0,14832.0,0.0
16033,2020-04-17,230597.0,17131.0,0.0
16353,2020-04-18,241712.0,17671.0,0.0
16673,2020-04-19,247815.0,18298.0,0.0
16993,2020-04-20,253060.0,18611.0,0.0
17313,2020-04-21,258361.0,19104.0,0.0
17632,2020-04-22,263292.0,19413.0,0.0
17952,2020-04-23,263460.0,20973.0,0.0
18272,2020-04-24,271590.0,21411.0,0.0
18591,2020-04-25,282143.0,22009.0,0.0
18910,2020-04-26,288045.0,22269.0,0.0
19230,2020-04-27,291996.0,22668.0,0.0
19551,2020-04-28,295106.0,22912.0,0.0
19872,2020-04-29,299691.0,23477.0,0.0
20195,2020-04-30,304372.0,23587.0,0.0
20518,2020-05-01,308314.0,24039.0,0.0
20841,2020-05-02,312977.0,24198.0,0.0
21164,2020-05-03,316415.0,24708.0,0.0
21487,2020-05-04,318953.0,24999.0,0.0
21810,2020-05-05,321192.0,25124.0,0.0
22133,2020-05-06,323978.0,25623.0,0.0
22456,2020-05-07,327469.0,26144.0,0.0
22779,2020-05-08,330407.0,26243.0,0.0
23102,2020-05-09,333122.0,26612.0,0.0
23425,2020-05-10,335395.0,26641.0,0.0
23748,2020-05-11,337055.0,26988.0,0.0
24071,2020-05-12,338485.0,27284.0,0.0
24395,2020-05-13,340661.0,27477.0,0.0
24753,2020-05-14,343051.0,27641.0,0.0
25130,2020-05-15,345813.0,27878.0,0.0
25507,2020-05-16,348232.0,28049.0,0.0
25884,2020-05-17,350121.0,28232.0,0.0
26261,2020-05-18,351371.0,28339.0,0.0
26638,2020-05-19,352845.0,28558.0,0.0
27056,2020-05-20,354370.0,28636.0,0.0
27508,2020-05-21,356458.0,28743.0,0.0
27960,2020-05-22,358154.0,28853.0,0.0
28412,2020-05-23,359926.0,29031.0,0.0
28864,2020-05-24,361515.0,29141.0,0.0
29316,2020-05-25,362764.0,29229.0,0.0
29768,2020-05-26,363836.0,29302.0,0.0
30220,2020-05-27,364965.0,29484.0,0.0
30734,2020-05-28,366733.0,29529.0,0.0
31288,2020-05-29,368284.0,29646.0,0.0
31842,2020-05-30,369660.0,29710.0,0.0
32397,2020-05-31,370770.0,29784.0,0.0
33012,2020-06-01,371711.0,29917.0,0.0
33675,2020-06-02,373040.0,29968.0,0.0
34339,2020-06-03,374085.0,30019.0,0.0
35003,2020-06-04,375133.0,30174.0,0.0
35675,2020-06-05,376208.0,30236.0,0.0
36359,2020-06-06,377316.0,30280.0,0.0
37043,2020-06-07,378097.0,30374.0,0.0
37728,2020-06-08,378799.0,30417.0,0.0
38412,2020-06-09,379482.0,30458.0,0.0
39123,2020-06-10,380156.0,30542.0,0.0
39848,2020-06-11,380892.0,30580.0,0.0
40577,2020-06-12,381714.0,30758.0,0.0
41306,2020-06-13,382630.0,30795.0,0.0
42035,2020-06-14,383324.0,30825.0,0.0
42764,2020-06-15,383944.0,30856.0,0.0
43493,2020-06-16,384575.0,30909.0,0.0
44222,2020-06-17,385142.0,30939.0,0.0
44951,2020-06-18,385760.0,30974.0,0.0
45680,2020-06-19,386556.0,31015.0,0.0
46409,2020-06-20,387272.0,31083.0,0.0
