,Date,Infected,Deaths,Recovered
0,2020-03-06,1.0,0.0,0.0
1,2020-03-07,1.0,0.0,0.0
2,2020-03-08,6.0,0.0,0.0
3,2020-03-09,7.0,0.0,0.0
4,2020-03-10,11.0,0.0,0.0
5,2020-03-11,11.0,0.0,0.0
6,2020-03-12,15.0,0.0,0.0
7,2020-03-13,28.0,0.0,0.0
8,2020-03-14,38.0,0.0,0.0
9,2020-03-15,43.0,0.0,0.0
10,2020-03-16,86.0,0.0,0.0
11,2020-03-17,117.0,0.0,1.0
12,2020-03-18,145.0,0.0,1.0
13,2020-03-19,234.0,0.0,1.0
14,2020-03-20,234.0,3.0,1.0
15,2020-03-21,318.0,5.0,1.0
16,2020-03-22,363.0,5.0,1.0
17,2020-03-23,395.0,5.0,1.0
18,2020-03-24,416.0,7.0,1.0
19,2020-03-25,480.0,9.0,1.0
20,2020-03-26,580.0,9.0,14.0
21,2020-03-27,635.0,11.0,16.0
22,2020-03-28,671.0,16.0,16.0
23,2020-03-29,852.0,18.0,16.0
24,2020-03-30,950.0,24.0,53.0
25,2020-03-31,1065.0,30.0,394.0
26,2020-04-01,1323.0,38.0,394.0
27,2020-04-02,1414.0,55.0,537.0
28,2020-04-03,1595.0,61.0,537.0
29,2020-04-04,1746.0,73.0,914.0
30,2020-04-05,2281.0,83.0,989.0
31,2020-04-06,2561.0,92.0,997.0
32,2020-04-07,2954.0,107.0,1301.0
33,2020-04-08,4342.0,121.0,1333.0
34,2020-04-09,5256.0,138.0,1438.0
35,2020-04-10,5897.0,169.0,1569.0
36,2020-04-11,6848.0,181.0,1739.0
37,2020-04-12,7519.0,193.0,1798.0
38,2020-04-13,9784.0,216.0,2642.0
39,2020-04-14,10303.0,230.0,2869.0
40,2020-04-15,11475.0,254.0,3108.0
41,2020-04-16,12491.0,274.0,6120.0
42,2020-04-17,13489.0,300.0,6541.0
43,2020-04-18,14420.0,348.0,6684.0
44,2020-04-19,15628.0,400.0,6811.0
45,2020-04-20,16325.0,445.0,6968.0
46,2020-04-21,17837.0,484.0,6982.0
47,2020-04-22,19250.0,530.0,7027.0
48,2020-04-23,20914.0,572.0,7422.0
49,2020-04-24,21648.0,634.0,7496.0
50,2020-04-25,25331.0,700.0,7797.0
51,2020-04-26,27517.0,728.0,8088.0
52,2020-04-27,28699.0,782.0,8425.0
53,2020-04-28,31190.0,854.0,9179.0
54,2020-04-29,33931.0,943.0,10037.0
55,2020-04-30,36976.0,1051.0,10405.0
56,2020-05-01,40459.0,1124.0,11129.0
57,2020-05-02,42534.0,1200.0,12434.0
58,2020-05-03,45928.0,1286.0,13550.0
59,2020-05-04,47372.0,1344.0,14427.0
60,2020-05-05,51189.0,1444.0,15413.0
61,2020-05-06,54817.0,1533.0,17527.0
62,2020-05-07,58526.0,1627.0,18388.0
63,2020-05-08,61847.0,1714.0,19012.0
64,2020-05-09,65015.0,1814.0,20246.0
65,2020-05-10,67307.0,1889.0,21349.0
66,2020-05-11,68822.0,1961.0,22406.0
67,2020-05-12,72059.0,2057.0,23324.0
68,2020-05-13,76306.0,2169.0,24324.0
69,2020-05-14,80604.0,2267.0,25151.0
70,2020-05-15,84495.0,2392.0,27147.0
71,2020-05-16,88541.0,2523.0,28272.0
72,2020-05-17,92273.0,2648.0,28621.0
73,2020-05-18,94933.0,2789.0,30306.0
74,2020-05-19,99483.0,2914.0,36524.0
75,2020-05-20,104020.0,3024.0,41968.0
76,2020-05-21,108769.0,3148.0,43587.0
77,2020-05-22,111698.0,3244.0,44848.0
78,2020-05-23,115754.0,3373.0,47915.0
79,2020-05-24,119959.0,3456.0,49795.0
80,2020-05-25,123979.0,3629.0,50949.0
81,2020-05-26,129751.0,3788.0,52906.0
82,2020-05-27,135905.0,3983.0,56169.0
83,2020-05-28,141779.0,4099.0,59442.0
84,2020-05-29,141779.0,4099.0,62791.0
85,2020-05-30,155671.0,4371.0,66447.0
86,2020-05-31,164476.0,4506.0,67208.0
87,2020-06-01,170039.0,4634.0,68507.0
88,2020-06-02,170039.0,4634.0,69257.0
89,2020-06-03,178914.0,4894.0,72319.0
90,2020-06-04,183198.0,5031.0,76228.0
91,2020-06-05,187400.0,5162.0,79214.0
92,2020-06-06,191758.0,5301.0,82731.0
93,2020-06-07,196515.0,5465.0,86219.0
94,2020-06-08,199696.0,5571.0,89556.0
95,2020-06-09,203736.0,5738.0,92929.0
96,2020-06-10,208823.0,5903.0,98031.0
97,2020-06-11,214788.0,6088.0,102429.0
98,2020-06-12,214788.0,6088.0,107133.0
99,2020-06-13,220749.0,6308.0,111724.0
100,2020-06-14,229736.0,6688.0,115579.0
101,2020-06-15,232992.0,6860.0,119409.0
102,2020-06-16,237156.0,7056.0,125205.0
103,2020-06-17,240908.0,7257.0,128622.0
104,2020-06-18,244388.0,7461.0,131190.0
105,2020-06-19,244388.0,7461.0,131190.0
106,2020-06-20,251338.0,7861.0,143017.0
