,Date,Infected,Deaths,Recovered
0,2020-02-29,1.0,0.0,0.0
1,2020-03-01,3.0,0.0,0.0
2,2020-03-02,3.0,0.0,0.0
3,2020-03-03,7.0,0.0,0.0
4,2020-03-04,8.0,0.0,0.0
5,2020-03-05,8.0,0.0,0.0
6,2020-03-06,8.0,0.0,0.0
7,2020-03-07,8.0,0.0,0.0
8,2020-03-08,15.0,0.0,0.0
9,2020-03-09,18.0,0.0,0.0
10,2020-03-10,24.0,0.0,0.0
11,2020-03-11,262.0,0.0,0.0
12,2020-03-12,262.0,0.0,0.0
13,2020-03-13,320.0,0.0,0.0
14,2020-03-14,337.0,0.0,4.0
15,2020-03-15,401.0,0.0,4.0
16,2020-03-16,439.0,0.0,4.0
17,2020-03-17,439.0,0.0,4.0
18,2020-03-18,452.0,0.0,4.0
19,2020-03-19,460.0,0.0,4.0
20,2020-03-20,470.0,0.0,10.0
21,2020-03-21,481.0,0.0,27.0
22,2020-03-22,494.0,0.0,33.0
23,2020-03-23,501.0,0.0,33.0
24,2020-03-24,526.0,0.0,41.0
25,2020-03-25,537.0,0.0,41.0
26,2020-03-26,549.0,0.0,43.0
27,2020-03-27,562.0,0.0,43.0
28,2020-03-28,590.0,1.0,45.0
29,2020-03-29,634.0,1.0,48.0
30,2020-03-30,693.0,1.0,51.0
31,2020-03-31,781.0,2.0,62.0
32,2020-04-01,835.0,2.0,71.0
33,2020-04-02,949.0,3.0,72.0
34,2020-04-03,1075.0,3.0,93.0
35,2020-04-04,1325.0,3.0,109.0
36,2020-04-05,1604.0,4.0,123.0
37,2020-04-06,1832.0,4.0,131.0
38,2020-04-07,2057.0,6.0,150.0
39,2020-04-08,2210.0,6.0,178.0
40,2020-04-09,2376.0,6.0,206.0
41,2020-04-10,2512.0,6.0,227.0
42,2020-04-11,2728.0,6.0,247.0
43,2020-04-12,2979.0,7.0,275.0
44,2020-04-13,3231.0,7.0,334.0
45,2020-04-14,3428.0,7.0,373.0
46,2020-04-15,3711.0,7.0,406.0
47,2020-04-16,4103.0,7.0,415.0
48,2020-04-17,4663.0,7.0,464.0
49,2020-04-18,5008.0,8.0,510.0
50,2020-04-19,5448.0,8.0,518.0
51,2020-04-20,6015.0,9.0,555.0
52,2020-04-21,6533.0,9.0,614.0
53,2020-04-22,7141.0,10.0,689.0
54,2020-04-23,7764.0,10.0,750.0
55,2020-04-24,8525.0,10.0,809.0
56,2020-04-25,9358.0,10.0,929.0
57,2020-04-26,10287.0,10.0,1012.0
58,2020-04-27,11244.0,10.0,1066.0
59,2020-04-28,11921.0,10.0,1134.0
60,2020-04-29,12564.0,10.0,1243.0
61,2020-04-30,13409.0,10.0,1372.0
62,2020-05-01,14096.0,12.0,1436.0
63,2020-05-02,14872.0,12.0,1534.0
64,2020-05-03,15551.0,12.0,1664.0
65,2020-05-04,16191.0,12.0,1810.0
66,2020-05-05,17142.0,12.0,1924.0
67,2020-05-06,17972.0,12.0,2070.0
68,2020-05-07,18890.0,12.0,2286.0
69,2020-05-08,20201.0,12.0,2370.0
70,2020-05-09,21331.0,13.0,2449.0
71,2020-05-10,22520.0,14.0,2753.0
72,2020-05-11,23623.0,14.0,2840.0
73,2020-05-12,25149.0,14.0,3019.0
74,2020-05-13,26539.0,14.0,3143.0
75,2020-05-14,28272.0,14.0,3356.0
76,2020-05-15,29425.0,14.0,3546.0
77,2020-05-16,30972.0,15.0,3788.0
78,2020-05-17,32604.0,15.0,4370.0
79,2020-05-18,33969.0,15.0,4899.0
80,2020-05-19,35606.0,15.0,5634.0
81,2020-05-20,37097.0,16.0,6600.0
82,2020-05-21,38651.0,17.0,7288.0
83,2020-05-22,40481.0,19.0,7893.0
84,2020-05-23,42213.0,21.0,8513.0
85,2020-05-24,43714.0,23.0,9170.0
86,2020-05-25,45465.0,26.0,10363.0
87,2020-05-26,47207.0,28.0,11844.0
88,2020-05-27,48947.0,30.0,13283.0
89,2020-05-28,50914.0,33.0,15399.0
90,2020-05-29,52907.0,36.0,20604.0
91,2020-05-30,55262.0,36.0,25839.0
92,2020-05-31,56910.0,38.0,30290.0
93,2020-06-01,58433.0,40.0,33437.0
94,2020-06-02,60259.0,43.0,36036.0
95,2020-06-03,62160.0,45.0,37542.0
96,2020-06-04,63741.0,45.0,39468.0
97,2020-06-05,65495.0,49.0,40935.0
98,2020-06-06,67195.0,51.0,42527.0
99,2020-06-07,68790.0,54.0,44338.0
100,2020-06-08,70158.0,57.0,45935.0
101,2020-06-09,71879.0,62.0,47569.0
102,2020-06-10,73595.0,66.0,49413.0
103,2020-06-11,75071.0,69.0,51331.0
104,2020-06-12,76588.0,70.0,53296.0
105,2020-06-13,78416.0,70.0,55252.0
106,2020-06-14,79602.0,73.0,56898.0
107,2020-06-15,80876.0,76.0,58681.0
108,2020-06-16,82077.0,80.0,60461.0
109,2020-06-17,83174.0,82.0,62172.0
110,2020-06-18,84441.0,86.0,63642.0
111,2020-06-19,85462.0,93.0,65409.0
112,2020-06-20,86488.0,94.0,66763.0
