,Date,Infected,Deaths,Recovered
0,2020-01-31,2.0,0.0,0.0
1,2020-02-01,2.0,0.0,0.0
2,2020-02-02,2.0,0.0,0.0
3,2020-02-03,2.0,0.0,0.0
4,2020-02-04,2.0,0.0,0.0
5,2020-02-05,2.0,0.0,0.0
6,2020-02-06,2.0,0.0,0.0
7,2020-02-07,3.0,0.0,0.0
8,2020-02-08,3.0,0.0,0.0
9,2020-02-09,3.0,0.0,0.0
10,2020-02-10,8.0,0.0,0.0
11,2020-02-11,8.0,0.0,0.0
12,2020-02-12,9.0,0.0,1.0
13,2020-02-13,9.0,0.0,1.0
14,2020-02-14,9.0,0.0,1.0
15,2020-02-15,9.0,0.0,1.0
16,2020-02-16,9.0,0.0,8.0
17,2020-02-17,9.0,0.0,8.0
18,2020-02-18,9.0,0.0,8.0
19,2020-02-19,9.0,0.0,8.0
20,2020-02-20,9.0,0.0,8.0
21,2020-02-21,9.0,0.0,8.0
22,2020-02-22,9.0,0.0,8.0
23,2020-02-23,9.0,0.0,8.0
24,2020-02-24,13.0,0.0,8.0
25,2020-02-25,13.0,0.0,8.0
26,2020-02-26,13.0,0.0,8.0
27,2020-02-27,15.0,0.0,8.0
28,2020-02-28,20.0,0.0,8.0
29,2020-02-29,23.0,0.0,8.0
30,2020-03-01,36.0,0.0,8.0
31,2020-03-02,40.0,0.0,8.0
32,2020-03-03,52.0,0.0,8.0
33,2020-03-04,86.0,0.0,8.0
34,2020-03-05,116.0,1.0,8.0
35,2020-03-06,164.0,2.0,8.0
36,2020-03-07,207.0,2.0,18.0
37,2020-03-08,274.0,3.0,18.0
38,2020-03-09,322.0,4.0,18.0
39,2020-03-10,383.0,6.0,18.0
40,2020-03-11,460.0,8.0,19.0
41,2020-03-12,460.0,8.0,19.0
42,2020-03-13,804.0,9.0,19.0
43,2020-03-14,1146.0,22.0,19.0
44,2020-03-15,1147.0,22.0,19.0
45,2020-03-16,1558.0,57.0,21.0
46,2020-03-17,1974.0,58.0,53.0
47,2020-03-18,2656.0,74.0,67.0
48,2020-03-19,2732.0,140.0,67.0
49,2020-03-20,4043.0,181.0,67.0
50,2020-03-21,5114.0,237.0,68.0
51,2020-03-22,5814.0,285.0,96.0
52,2020-03-23,6799.0,339.0,141.0
53,2020-03-24,8261.0,426.0,141.0
54,2020-03-25,9785.0,471.0,141.0
55,2020-03-26,12008.0,585.0,151.0
56,2020-03-27,15055.0,766.0,156.0
57,2020-03-28,17668.0,1030.0,156.0
58,2020-03-29,20255.0,1241.0,157.0
59,2020-03-30,23001.0,1424.0,179.0
60,2020-03-31,26126.0,1810.0,189.0
61,2020-04-01,30659.0,2377.0,192.0
62,2020-04-02,35070.0,2948.0,211.0
63,2020-04-03,39761.0,3638.0,230.0
64,2020-04-04,43702.0,4352.0,240.0
65,2020-04-05,49744.0,4980.0,257.0
66,2020-04-06,53598.0,5423.0,315.0
67,2020-04-07,57411.0,6216.0,353.0
68,2020-04-08,63142.0,7163.0,380.0
69,2020-04-09,67764.0,8050.0,404.0
70,2020-04-10,76808.0,9043.0,649.0
71,2020-04-11,82385.0,9965.0,701.0
72,2020-04-12,87983.0,10712.0,715.0
73,2020-04-13,92672.0,11440.0,401.0
74,2020-04-14,98217.0,12227.0,442.0
75,2020-04-15,103247.0,13002.0,511.0
76,2020-04-16,108306.0,13875.0,561.0
77,2020-04-17,114431.0,14732.0,640.0
78,2020-04-18,120420.0,15631.0,689.0
79,2020-04-19,126621.0,16236.0,783.0
80,2020-04-20,131566.0,16701.0,805.0
81,2020-04-21,136297.0,17539.0,1005.0
82,2020-04-22,141230.0,18325.0,1107.0
83,2020-04-23,146416.0,18978.0,1216.0
84,2020-04-24,152287.0,19760.0,1325.0
85,2020-04-25,157694.0,20582.0,1556.0
86,2020-04-26,162654.0,21003.0,1618.0
87,2020-04-27,167357.0,21377.0,1671.0
88,2020-04-28,171760.0,21984.0,1805.0
89,2020-04-29,176307.0,26416.0,1960.0
